Sticking;Meshing;Tracing;Postprocessing;Advection;NumRays
0.1;195737907;172080362062;10956012;902290045;140000000
0.1;194204940;174273110806;9487141;828973890;140000000
0.1;207973840;173989128332;9933731;925472497;140000000
0.1;194933399;172410030589;9648538;885952385;140000000
0.1;201250488;172253315872;9676868;878605868;140000000
0.1;200448980;170588425575;10172728;884991636;140000000
0.1;200876232;169928455700;9603338;947744899;140000000
0.1;194435360;169013388712;9610897;858883565;140000000
0.1;204757970;167366724905;10339253;875154963;140000000
0.1;200807931;166033618087;10489265;909252010;140000000
