Sticking;Meshing;Tracing;Postprocessing;Advection;NumRays
0.1;197169336;488288711;11007149;860991441;979776
0.1;190600490;383502612;8941509;835178727;988768
0.1;186408210;380218161;9156215;887382524;988768
0.1;186827994;385861410;9074280;795515251;988768
0.1;191692861;378845500;8829667;875026733;988768
0.1;189198459;382554221;9426782;806604935;988768
0.1;191754298;378010682;9881135;808603893;979462
0.1;184097379;374873035;9267021;792349765;979462
0.1;187775382;372429094;9132030;827402567;979462
0.1;184952812;372830268;8856705;844509206;979462
0.1;189521224;640363802;10252413;879991689;4945536
0.1;196444275;525452101;10419686;793461159;4943840
0.1;188518003;522336070;9486617;807504353;4943840
0.1;189675615;530069782;9126783;841032306;4988784
0.1;189038459;524902575;9023866;811110448;4988784
0.1;190315906;525577288;9371292;882951382;4988784
0.1;190968955;529647213;9283106;845340589;4941831
0.1;190307924;522443115;9888774;843621008;4941831
0.1;189575514;513184648;9469090;798868132;4941831
0.1;188631133;517965859;9114882;800276477;4941831
0.1;190371784;834911492;10446364;788592460;9891072
0.1;195886523;712210156;9971747;794646761;9932624
0.1;186548971;708809976;8999818;828517307;9932624
0.1;189663710;714156898;9124578;770039793;9977568
0.1;186029352;710342244;9276074;843842614;9977568
0.1;193171999;706176599;8947374;829054536;9883662
0.1;191848421;702657781;9315064;861046410;9883662
0.1;192194445;697060633;9173134;782396957;9883662
0.1;186976546;704201182;8997399;818523385;9928183
0.1;187853129;698001761;9274124;807092450;9928183
0.1;191503022;1593096629;10387190;881011491;29766528
0.1;184313391;1463113622;10234963;893809652;29887760
0.1;195212723;1454011129;9360963;747464519;29887760
0.1;189459873;1465337347;9703597;787112932;29932704
0.1;186604647;1465959303;9429967;877912768;29932704
0.1;192519892;1446165869;9114049;830478554;29695507
0.1;188556960;1451925420;9263730;789726436;29740028
0.1;189440671;1431954221;9360192;868991790;29740028
0.1;187133295;1443060525;9794240;809538343;29784549
0.1;187761266;1432804979;8968257;822592213;29829070
0.1;191994020;2718985888;10644341;795243839;59533056
0.1;190179533;2590894792;10035080;828964136;59820464
0.1;191228820;2574743061;9163528;816350873;59820464
0.1;188704358;2598154564;9409412;812981666;59865408
0.1;192506466;2582952691;9380747;849454615;59910352
0.1;195417827;2557779680;9325820;871636963;59435535
0.1;192289092;2553654182;9244091;843409433;59480056
0.1;191880970;2540474306;10131473;805623032;59524577
0.1;188417491;2540520094;9296197;818481943;59613619
0.1;185607150;2531209603;9978975;816130610;59658140
0.1;195968304;5718023649;10832462;854163628;138941568
0.1;193426493;5600570119;9319926;793467749;139596064
0.1;192924408;5558652971;10213313;796754209;139596064
0.1;195103495;5602286722;9570129;790973045;139685952
0.1;187092944;5585305197;9387518;770618728;139865728
0.1;185337434;5516754209;9556395;824715523;138682915
0.1;191351441;5502769765;9744951;819351535;138816478
0.1;189353148;5498077479;9729098;811475122;138950041
0.1;193906903;5487741033;9269590;783939474;139083604
0.1;186713129;5464627518;9245749;788276867;139217167
0.1;192297932;7959259492;10382039;876633475;198521280
0.1;192503128;7843538924;9344789;786424623;199461472
0.1;189923256;7792639087;9392412;887018394;199416528
0.1;192687374;7867386253;9832877;790374768;199551360
0.1;183319181;7848614581;9522008;814733408;199776080
0.1;187711024;7746020294;9319991;820261904;198118450
0.1;190968532;7732355422;9297408;826070904;198341055
0.1;188477299;7710347126;9291434;834705251;198474618
0.1;191291499;7704366158;9263838;824846621;198697223
0.1;191282600;7692050050;9796055;856904892;198875307
0.1;190571926;19264000967;10648877;849818828;496279872
0.1;193477879;19157371858;9350362;836176624;498698624
0.1;185897326;19000737979;10132845;786538008;498563792
0.1;186542096;19171450652;9458771;846249748;498923344
0.1;195973611;19111419754;9336895;768785864;499462672
0.1;187148815;18848525222;10169451;782155227;495340646
0.1;192854781;18827044168;9969262;802742393;495874898
0.1;190750670;18772683393;9430134;815400340;496231066
0.1;191472596;18757148198;10196650;785793900;496765318
0.1;189026361;18752956193;9392376;820396190;497255049
