Sticking;Meshing;Tracing;Postprocessing;Advection;NumRays
0.1;1909258;290066538;202925;15732630;139999680
0.1;1843063;263816764;224409;14135000;139999680
0.1;1626984;264685610;255217;15071905;139999680
0.1;1772528;268362607;243650;15624363;139999680
0.1;1859784;263573687;281065;16164795;139999680
0.1;1892534;265943326;281804;15507343;139999680
0.1;1936444;265404316;297478;17591528;139999680
0.1;1931006;257368314;276616;15019704;139999680
0.1;1886942;263735101;272767;19905754;139999680
0.1;1747890;264239426;287313;15738521;139999680
