Sticking;Meshing;Tracing;Postprocessing;Advection;NumRays
0.1;123220791;2372057704;10901980;737623589;139968000
0.1;129386299;2245314356;9591333;760096382;139955616
0.1;123558794;2235722410;9902484;789299473;139955616
0.1;120594931;2232658705;10603044;782538325;139955616
0.1;120509054;2226327075;10431376;778866745;139955616
0.1;117162614;2221927591;10049246;791284847;139955616
0.1;118199782;2243778459;10155840;762269517;139974024
0.1;117537512;2230593474;9849476;753904952;139974024
0.1;119765824;2221581880;10209879;781296686;139974024
0.1;123917044;2188300053;9570891;753872192;139974024
