Sticking;Meshing;Tracing;Postprocessing;Advection;NumRays
0.1;119919297;2489174742;10902761;746910890;139968000
0.1;121074124;2350064679;10032808;761260659;139955616
0.1;119939052;2355878056;9714456;772682180;139955616
0.1;121892465;2356314168;10210549;747037505;139955616
0.1;116803306;2347983485;10099884;774660615;139955616
0.1;122836372;2338330959;9786746;773759740;139955616
0.1;123147009;2363979847;9540930;800416414;139974024
0.1;120588149;2358994477;9636779;761592754;139974024
0.1;118435890;2349648135;9641154;764200531;139974024
0.1;118756318;2310870821;10362068;728992520;139974024
