Sticking;Meshing;Tracing;Postprocessing;Advection;NumRays
0.1;119900992;2445072646;10835922;720452084;139968000
0.1;120299224;2303451518;9703801;763799401;139955616
0.1;121773803;2296606828;9640469;734528678;139955616
0.1;117565506;2299838598;10015027;778711961;139955616
0.1;124217154;2294586576;9857203;768323128;139955616
0.1;122330988;2288135522;9822537;765718687;139955616
0.1;123008918;2306256248;9630149;776058448;139974024
0.1;119976776;2301943299;9734061;804259915;139974024
0.1;117666167;2288127527;9568777;763495437;139974024
0.1;121346225;2250235191;9550434;787759048;139974024
