Sticking;Meshing;Tracing;Postprocessing;Advection;NumRays;Nodes
0.1;192072494;5690873818;11144558;797201185;138941568;47003
0.1;188653835;5580506546;9210207;829622048;139596064;45061
0.1;189558353;5541294619;9430883;838483255;139596064;45071
0.1;190268853;5578368885;9724413;824009663;139685952;45037
0.1;185894271;5571434157;9352515;861820825;139865728;44987
0.1;194959479;5499118929;9313248;841257895;138682915;44937
0.1;187453621;5490136340;9847392;804758513;138816478;44889
0.1;188529334;5485603294;10020126;812865148;138950041;44854
0.1;189129272;5479834901;10024166;804145805;139083604;44809
0.1;186501608;5472136323;10066807;854352716;139217167;44763
0.1;134834170;5568483158;7849829;579839954;138866400;32658
0.1;133612771;5686900532;6688031;526294519;138555648;31297
0.1;135077909;5343650208;7128872;602412277;139915314;31341
0.1;131726754;5114061909;7019140;631648837;138586624;31289
0.1;134816240;5110040845;6634492;517100731;138648576;31277
0.1;129392737;5112054391;6991674;590911408;138803456;31242
0.1;137692677;5102077371;6601623;562872201;138958336;31208
0.1;132841799;5075188391;6725597;545729835;139113216;31171
0.1;131595466;5090750654;7028355;580134261;139206144;31152
0.1;137500032;5081621982;6724444;534619440;139422976;31101
0.1;90702473;5437195014;5270483;338923940;139875057;21626
0.1;89457132;5085859216;4747281;336438969;139756684;20199
0.1;87287299;5028163992;4587380;344981329;138729618;20061
0.1;87682154;5007548936;4329746;336384376;139186881;19997
0.1;86463118;4971454096;4231004;344853474;139206762;19993
0.1;86187473;4949355890;4618149;353685901;139385691;19966
0.1;86022516;4961263819;4623700;342839606;139584501;19938
0.1;86117897;4947257057;4341217;374407281;139624263;19933
0.1;83366694;4909863189;4545276;360556510;139882716;19897
0.1;85589939;4882432154;4239060;342339515;138042800;19877
0.1;52308527;5152851985;3121071;214693109;139513000;12142
0.1;50485253;5102956710;2458392;216218784;138517408;11356
0.1;52576567;5071989128;2737996;214781313;139843256;11248
0.1;51409832;4981427969;2431723;212021063;138187350;11169
0.1;50536874;4973400380;2403780;211864155;139896225;11033
0.1;50434078;4966361441;2743958;206625892;139863150;11035
0.1;50331860;4810364702;2519595;190661817;137352384;11024
0.1;49807867;4765739504;2728143;200859494;137590336;11005
0.1;51103098;4751898048;2388682;220866269;137687680;10997
0.1;50423769;4733833810;2546203;213968536;137839104;10985
0.1;24681016;5056960916;1528446;101360194;138106364;5402
0.1;23942898;4825975894;1379457;98533091;137866309;5119
0.1;24583831;4788681185;1329951;100969917;138950124;5079
0.1;24536058;4826536527;1355489;101540787;139776848;5049
0.1;25923767;4699791992;1340824;96513133;137033400;5006
0.1;24090829;4670115346;1407234;101717017;137832100;4977
0.1;23653924;4611648737;1289720;100957748;138949300;4937
0.1;23724694;4577230477;1331742;100509010;139625500;4913
0.1;23634672;4466103150;1288535;99972017;137173932;4859
0.1;23776087;4404592542;1171592;102459689;138026151;4829
