Sticking;Meshing;Tracing;Postprocessing;Advection;NumRays
0.1;1741029;498667744;29409;14331565;139999680
0.1;1974496;187914889;10692;14978332;139999680
0.1;2140202;200858234;15893;17407766;139999680
0.1;2056539;194619566;25795;15360070;139999680
0.1;2055953;199281643;25755;15906368;139999680
0.1;2108167;199148131;26415;15488700;139999680
0.1;2014493;202037389;25853;15150964;139999680
0.1;1975513;201610937;28343;16099479;139999680
0.1;1968777;203405965;26095;15842856;139999680
0.1;1948061;203990887;26168;15535504;139999680
