Sticking;Meshing;Tracing;Postprocessing;Advection;NumRays;Nodes
0.1;648309171;3343908926;14980542;771778782;138863768;52852
0.1;655763472;3085966473;14685477;771856924;139073532;52774
0.1;639172734;3138716213;15038265;820850578;139444400;53101
0.1;639862993;3095065112;14802669;805195950;139444400;53096
0.1;637466852;3209478075;14880285;769178574;139285700;53162
0.1;634482851;3120511433;15162291;796732110;139338600;53144
0.1;635043975;3074235955;14837156;756062616;139708900;53005
0.1;638200329;3142113299;14843812;712133444;138968300;53282
0.1;633448291;3124227603;15129888;767332484;139338600;53135
0.1;635026865;3058847001;14930628;753643959;139814700;52959
0.1;457040879;2911499425;10416994;516051246;139959700;36108
0.1;447424471;2866587522;10430266;491843354;139562600;36211
0.1;448462088;2850271119;10472958;546831228;139868154;36513
0.1;443348537;2823006054;10474898;535202674;138919648;36758
0.1;445497956;2887950094;10600768;511532397;138737243;36807
0.1;445981598;2956487929;10424718;540783291;138956129;36750
0.1;446798613;3047447311;10704427;534922941;139051008;37115
0.1;444688453;3057869787;10604319;514401920;139382784;37027
0.1;441614698;3016399497;10657121;543533045;139235328;37064
0.1;442171571;3109412656;10904520;503558840;139646501;37337
0.1;303253826;3011114975;6833630;337638421;138423168;24612
0.1;294939147;2601382575;6615210;327939158;139409536;23199
0.1;289699798;2831680629;6707140;340911321;139853252;23740
0.1;291226574;2871566463;6600457;345532976;139758388;23754
0.1;290345971;2854595068;6656859;328415963;139687240;23766
0.1;288345138;2977192490;6630282;336400131;139402648;23815
0.1;288010196;2898396697;6577679;348318997;138300372;23695
0.1;286271143;2900218839;6585998;351057106;138885597;23595
0.1;287852043;2940762820;6657892;324871643;138628098;23638
0.1;289795169;2950007572;6595282;347575184;139189914;23544
0.1;173654333;3102798585;4010819;197616880;139766400;14424
0.1;169562182;2857041163;3846158;203297736;139052862;13782
0.1;164465715;2874670336;3857627;196215810;138677350;13350
0.1;166092367;2860074114;3750000;208107997;139512060;13041
0.1;165990555;2862290603;3703870;191691202;137598744;12991
0.1;165065990;2883765416;3645101;199143937;137726434;12979
0.1;166676408;2867758554;3676480;189373268;138160580;12938
0.1;162890842;2983421377;3710292;195811859;137624282;12989
0.1;164576241;2950432681;3770223;201042454;138479805;12908
0.1;162300558;2927968064;3656856;197052626;138415960;12915
0.1;81888470;2618351400;1830088;103546956;139302400;6432
0.1;76920499;2763188342;1812807;99053456;136914336;6221
0.1;75140747;2850967306;1719738;93918565;139058766;5969
0.1;77498639;2888263792;1734321;96814843;138109936;5855
0.1;74591415;2856953633;1673936;97900572;139588592;5793
0.1;74501351;2754985764;1661460;91642101;139083750;5662
0.1;71953285;2993962158;1659678;92042368;136385256;5621
0.1;76760797;2786359926;1642883;98202647;138982500;5666
0.1;73891364;2948461877;1632541;90642010;136385256;5621
0.1;73113205;3028088116;1626985;91457759;137732352;5566
