Sticking;Meshing;Tracing;Postprocessing;Advection;NumRays
0.1;651027382;135757452;14917159;772222266;943938
0.1;647586873;132045478;15067700;765308757;943938
0.1;640504485;131130665;14714431;757712472;952200
0.1;636319398;130532489;14671124;733789320;952200
0.1;643172574;131090124;15713621;796654284;952200
0.1;644433843;130041792;14681979;747983306;952200
0.1;635931464;132228324;14865620;743705756;952200
0.1;637149260;130390302;14656120;768684134;952200
0.1;654513475;130602770;14708423;755191239;952200
0.1;636120404;130003103;14681527;749533702;952200
0.1;640434089;234733185;14488269;760515508;4929454
0.1;640381456;225419147;14565584;768032519;4929454
0.1;636231573;217158118;14799223;743231939;4972600
0.1;640645270;214404181;14804434;761325710;4972600
0.1;645808980;214441913;14892019;788986874;4972600
0.1;639573766;214305839;14752096;749566881;4972600
0.1;636044254;232233646;14667710;766628265;4972600
0.1;649729297;213712808;14732683;754882182;4972600
0.1;635860382;226978116;14860139;795404285;4972600
0.1;642640572;223224133;15898795;766578762;4942872
0.1;647997789;358116413;14648526;761479951;9911349
0.1;640296821;318303491;14663044;760893483;9911349
0.1;640346874;326035914;14720712;770049298;9945200
0.1;643693760;321479718;14638037;765143516;9945200
0.1;646834522;333804343;16140499;756833971;9907200
0.1;635883376;329823109;14825273;792382425;9892300
0.1;637763767;328985585;14701681;735726765;9892300
0.1;637940309;321505659;14702441;815967090;9945200
0.1;636827147;318127539;14615831;772727877;9945200
0.1;641802112;326463963;14816982;719145010;9925146
0.1;640727458;808577831;14641728;733179210;29734047
0.1;639591388;746829789;14824038;777987157;29786488
0.1;635662667;758879328;14671429;723323202;29835600
0.1;634880370;747347183;14742212;777292365;29835600
0.1;638404320;744063803;14781705;734782056;29835600
0.1;637337980;764318209;14708368;815362439;29835600
0.1;636892007;744204507;14744211;738786369;29835600
0.1;637207942;740114941;14863835;788101819;29888500
0.1;637859617;763569301;14795082;761156179;29835600
0.1;631151890;755224154;14695747;738602786;29782700
0.1;643162874;1512949342;14829442;749889591;59520535
0.1;640912077;1386656729;14982841;738768059;59572976
0.1;638079354;1410772807;15468189;761531973;59724100
0.1;639349216;1389764827;14768847;770886511;59724100
0.1;643183127;1444997398;14824864;745561705;59671200
0.1;634224080;1402335693;14645184;747774840;59724100
0.1;638514492;1380181034;14635560;751823592;59829900
0.1;637605684;1410053480;14847883;801132179;59512500
0.1;636743332;1398620191;14724613;754365655;59618300
0.1;635578918;1377857356;14642640;785917375;59935700
0.1;644584599;3352792298;38143414;758406720;138863768
0.1;638927171;3090771332;35972199;780033812;139073532
0.1;636034767;3146828151;35991225;762581652;139444400
0.1;636742239;3102117168;36194925;796958564;139444400
0.1;634026868;3222014163;36236712;752654354;139285700
0.1;635502250;3123391307;36120375;774973498;139338600
0.1;637350776;3086138736;36538004;796984065;139708900
0.1;633822028;3215672998;37283027;765439786;139912542
0.1;635631293;3120291139;36260673;801514397;139232800
0.1;631847243;3099218953;36175108;758721567;139656000
0.1;642119636;4736049412;14642236;744300644;198436744
0.1;639493848;4374613006;14615837;744487856;198751390
0.1;639544933;4453223687;15873926;761309063;199221400
0.1;643316948;4466484846;14667982;737123006;199327200
0.1;638562613;4380049788;14897195;767822928;199274300
0.1;641657529;4520415859;14822537;754325184;199062700
0.1;636296454;4390721388;14653938;769889480;199168500
0.1;639293583;4359192039;14705040;776710273;199538800
0.1;634812132;4470747975;14917430;747038926;198956900
0.1;637010067;4431488942;14854645;753762932;199274300
0.1;641591923;11685669053;14564206;709254700;496091860
0.1;637911075;10807633334;14672693;738474197;496878475
0.1;638392213;10995587777;14684737;786486360;498159300
0.1;640540702;10831702239;14643944;789127611;498106400
0.1;634811104;11246546800;15151253;777110646;497630300
0.1;637901974;10888088092;14974256;737362940;497683200
0.1;633851134;10744858151;14689922;766706123;498952800
0.1;634463957;11139347254;15027887;784175094;499138794
0.1;634127995;10896302625;14803438;769729915;497418700
0.1;633856671;10809132025;14698813;787455197;499111500
