Sticking;Meshing;Tracing;Postprocessing;Advection;NumRays
0.1;3781314716;3346945100;4882914;746819722;138863768
0.1;3761641327;3115326780;4768914;773408922;139073532
0.1;3776900657;3152581655;4758436;794170743;139444400
0.1;3761454073;3110746471;4795842;810002431;139444400
0.1;3790599793;3230044518;4833553;758777023;139285700
0.1;3779967040;3129218423;4751765;759095136;139338600
0.1;3769549429;3098505210;4751316;766191315;139708900
0.1;3777800911;3144554016;4820365;767729664;138968300
0.1;3771646150;3132568466;4935063;778364426;139338600
0.1;3768580925;3073151568;4771825;731454386;139814700
