Sticking;Meshing;Tracing;Postprocessing;Advection;NumRays
0.1;644584599;3352792298;38143414;758406720;138863768
0.1;638927171;3090771332;35972199;780033812;139073532
0.1;636034767;3146828151;35991225;762581652;139444400
0.1;636742239;3102117168;36194925;796958564;139444400
0.1;634026868;3222014163;36236712;752654354;139285700
0.1;635502250;3123391307;36120375;774973498;139338600
0.1;637350776;3086138736;36538004;796984065;139708900
0.1;633822028;3215672998;37283027;765439786;139912542
0.1;635631293;3120291139;36260673;801514397;139232800
0.1;631847243;3099218953;36175108;758721567;139656000
