Sticking;Meshing;Tracing;Postprocessing;Advection;NumRays
0.1;1169942529;6366604;289233323;836116774;903168
0.1;1161256125;6687968;117304800;840590922;941192
0.1;1145887683;6691038;120212444;797400297;946688
0.1;1155771740;6802138;125425394;812263864;946688
0.1;1194201044;6551168;126383326;814205056;902167
0.1;1152794984;6730274;118073868;879588120;952200
0.1;1157673698;6737948;123156897;825475046;952200
0.1;1136497066;6686620;121140581;833875181;952200
0.1;1143267874;6820911;121246872;769724759;952200
0.1;1160244047;6865068;125919091;851834522;991232
0.1;1170814739;33503473;302933290;844500801;4967424
0.1;1146866269;33951502;118325342;802018652;4941258
0.1;1153241609;34019069;122151206;769575909;4970112
0.1;1150891467;34129724;119956514;815859884;4970112
0.1;1150420750;34045447;119879440;846846304;4970112
0.1;1144700861;33887597;118632781;846594237;4970112
0.1;1140177942;33869711;122229201;787187740;4970112
0.1;1135545521;33792544;120096299;833860704;4970112
0.1;1141136916;33392083;127183966;794630682;4880025
0.1;1136618127;33761281;120157201;898351583;4970112
0.1;1160583524;66715864;304566701;757194370;9934848
0.1;1147078220;67643724;120428154;784925412;9882516
0.1;1148148345;67693000;116359588;899467466;9940224
0.1;1149055130;67944577;119160320;780398664;9940224
0.1;1140291004;67779884;121165216;789093208;9940224
0.1;1150885628;67509908;120495703;850694818;9940224
0.1;1137279752;67484499;119074053;847091708;9940224
0.1;1140283101;67744316;120434048;780588002;9936428
0.1;1136459628;67112293;119336002;827628157;9940224
0.1;1131467229;67209678;120327226;840398802;9940224
0.1;1161847758;189755097;288494240;805122656;29804544
0.1;1143108079;202987322;121089809;820172474;29882846
0.1;1140902590;203556240;123489004;812658561;29939008
0.1;1150019412;192351908;119782256;827332612;29939008
0.1;1150048192;202127676;120151908;864205760;29820672
0.1;1140314588;202782192;121382794;841170147;29939008
0.1;1129521036;200273995;116012290;775355894;29820672
0.1;1145235825;195557326;122132277;842369105;29820672
0.1;1134478496;200949016;126349769;774398207;29820672
0.1;1144436457;201188846;120198483;874464420;29820672
0.1;1158183222;373407897;287337168;858750856;59609088
0.1;1138498120;376102747;119018101;866454352;59765692
0.1;1148670887;384273502;121120961;859987393;59878016
0.1;1141774242;376400741;122899828;830269496;59878016
0.1;1150861554;383106157;122584098;852735333;59759680
0.1;1135590675;372797376;121325198;828621772;59996352
0.1;1139157024;387336528;119006287;784395907;59878016
0.1;1137350419;381142957;124350300;803968483;59641344
0.1;1138305233;376721147;120917125;856028577;59878016
0.1;1139006582;387199445;120553588;802487476;59878016
0.1;1160587240;841857465;297198325;820920742;139200768
0.1;1148919627;872238550;123711849;884968090;139649363
0.1;1137197368;866341438;117277346;781719248;139873152
0.1;1151184624;874213725;123307897;809731668;139754816
0.1;1144669779;854379530;119281659;865650602;139518144
0.1;1144628272;853640718;122625893;839849947;139178767
0.1;1140953202;859292551;123223218;818825580;139754816
0.1;1144686808;859029088;118596534;854029644;139281472
0.1;1133097534;863942165;125847855;785983214;139518144
0.1;1134987845;851486378;121079185;804945505;139518144
0.1;1157044483;1198145536;295082134;826882481;198922752
0.1;1142851020;1239475987;120702361;848545955;199415055
0.1;1144422725;1221749151;127941541;801634440;199869504
0.1;1150678690;1227721139;117968400;851193117;199632832
0.1;1145313391;1230152908;121319028;781323397;199396160
0.1;1152284830;1216915274;121631670;805808070;198826810
0.1;1136361338;1207318677;119184312;858679890;199632832
0.1;1143936294;1211080113;122651226;779626451;198922816
0.1;1134294924;1205669945;120344343;786985516;199869504
0.1;1131669791;1220333792;120146029;796374255;199632832
0.1;1172480592;2982630376;296382722;866322648;497419776
0.1;1146927976;3044001934;117390176;850461276;498831760
0.1;1145247331;3039886180;120592564;832387748;499732928
0.1;1140593873;3015079449;120748670;825997620;499259584
0.1;1147929665;3018782890;120298948;866928076;498549568
0.1;1155670235;3010599678;119168702;799934089;497302323
0.1;1135323572;3002733807;119165915;806778659;499022912
0.1;1133757489;3004883533;120758806;805984481;497721216
0.1;1137881622;3006153396;121648632;813812578;499851264
0.1;1135955464;2988604292;125065203;817642828;499141248
