Sticking;Meshing;Tracing;Postprocessing;Advection;NumRays
0.1;1160587240;841857465;297198325;820920742;139200768
0.1;1148919627;872238550;123711849;884968090;139649363
0.1;1137197368;866341438;117277346;781719248;139873152
0.1;1151184624;874213725;123307897;809731668;139754816
0.1;1144669779;854379530;119281659;865650602;139518144
0.1;1144628272;853640718;122625893;839849947;139178767
0.1;1140953202;859292551;123223218;818825580;139754816
0.1;1144686808;859029088;118596534;854029644;139281472
0.1;1133097534;863942165;125847855;785983214;139518144
0.1;1134987845;851486378;121079185;804945505;139518144
