Sticking;Meshing;Tracing;Postprocessing;Advection;NumRays;Nodes
0.1;1153454922;849048176;287573954;771582030;139200768;113472
0.1;1152846608;861479617;119439710;857332786;139649363;117930
0.1;1139985120;860852814;122925675;821013220;139873152;118384
0.1;1137217988;866364887;119892634;813710774;139754816;118522
0.1;1141569156;868626934;120540530;833336183;139518144;118649
0.1;1142112153;849234745;121329210;845551086;139178767;118297
0.1;1132911900;855843048;131879278;824643348;139754816;118519
0.1;1131425376;861123235;126453162;795172747;139636480;118565
0.1;1135869967;842174738;120306623;788156070;139399808;118753
0.1;1142664020;855001869;119593944;823082696;139518144;118718
0.1;804868958;834241146;91285068;568792635;139053200;82336
0.1;797359855;822816719;82508313;613888104;139450717;82650
0.1;791793598;815552726;80076120;613634134;139368348;82700
0.1;794512392;812002168;79382391;606061680;139677696;83087
0.1;782873033;815512904;79128709;548193496;139121241;82852
0.1;784073582;814943432;82406581;532280159;139450717;82682
0.1;791295854;808510240;80033849;590680164;139594752;83153
0.1;788491607;807132743;83110343;601469420;139121241;82866
0.1;781809593;807186216;81104386;574851181;139450717;82661
0.1;781440872;808610213;81325593;581739445;139926528;82987
0.1;525853219;826364896;57153465;379585326;138809600;53336
0.1;510562971;816585021;50686641;359058747;138809600;53347
0.1;506020619;811967023;51231376;370465677;139112127;53681
0.1;508212069;814687990;50996477;346477360;139285700;53160
0.1;499968686;812657528;47956537;345916692;139074100;53242
0.1;501892593;809705123;49925427;368891839;139805820;53428
0.1;497676135;806169773;49529238;376320472;139859181;53399
0.1;503608400;808624666;53115213;370170765;139127000;53230
0.1;505155295;802613657;49330427;349612271;138915400;53306
0.1;498520368;800521198;51312775;356798467;139497300;53071
0.1;293169526;805765357;33032992;202091762;139648714;30000
0.1;287922708;782753386;27323280;215412729;139469140;30039
0.1;284103279;775368703;29975578;215806501;139169850;30102
0.1;283581241;773697241;26571733;203175716;138512288;29898
0.1;280357069;769878922;25984599;208888758;139768430;29976
0.1;282600506;767913092;32333084;210589081;139648714;29999
0.1;281928770;765200346;28374735;191850209;138601040;29878
0.1;282961355;760408672;29100561;213734308;139918075;29946
0.1;286645974;756583452;27925478;207114086;138719376;29854
0.1;278600991;757311529;26021689;193129324;138956048;29804
0.1;133166082;781926164;13453705;107874462;138516064;13600
0.1;131506060;780223855;11255699;96839200;139641489;13724
0.1;128199099;765326457;10725596;98473030;137711925;13444
0.1;128449799;765867215;12302823;101023963;139229232;13530
0.1;127860135;764538967;10612302;99048574;139511808;13503
0.1;127951246;749689932;11867419;97251283;138478975;13370
0.1;125878081;746105862;10917155;95060106;137857400;13430
0.1;124696007;742863563;10742218;94382161;138531875;13365
0.1;125611302;744632750;10081855;97945383;139629550;13259
0.1;127395502;730009377;10550750;96041159;139100550;13310
